"""Remember Me"" Default Value","""Zapomni si me"" Privzeta vrednost"
"(Not %s?)","(Ni %s?)"
"* Required Fields","* Obvezna polja"
"Address","Naslov"
"Address Information","Podatki o naslovu"
"Already registered?","Že registrirani?"
"Back","Nazaj"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Z registracijo na naši trgovini boste boste veliko hitreje oddali naroèilo, shranili veè naslovov za dostavo, pregledovali in sledili naroèilom v vašem raèunu in še veè."
"Cannot load configuration from file %s.","Ne morem naložiti konfiguracije preko datoteke %s."
"Checkout as Guest","Zakljuèite nakup kot gost"
"Checkout as a Guest or Register","Zakljuèite nakup kot gost ali se registrirajte"
"City","Mesto"
"Clear Persistence on Log Out","Poèisti prisotnost ob odjavi"
"Close","Zapri"
"Company","Podjetje"
"Confirm Password","Potrdite geslo"
"Continue","Nadaljuj"
"Country","Država"
"Create an Account","Kreiraj raèun"
"Easy access to your order history and status","Enostaven dostop do zgodovine vaših nakupov in njihovega statusa."
"Email Address","E-naslov"
"Enable ""Remember Me""","Omogoèi ""Zapomni si me"""
"Enable Persistence","Omogoèi prisotnost"
"Fast and easy check out","Hiter in enostaven zakljuèek nakupa"
"Fax","Faks"
"Forgot Your Password?","Ste pozabili vaše geslo?"
"Forgot your password?","Ste pozabili vaše geslo?"
"General Options","Splošne možnosti"
"If you have an account with us, please log in.","Èe imate že odprt raèun, se prosimo prijavite."
"Loading next step...","Nalagam naslednji korak..."
"Login","Prijava"
"Login Information","Podatki za prijavo"
"Login or Create an Account","Prijavite se ali kreirajte svoj raèun"
"New Customers","Nove stranke"
"Password","Geslo"
"Persist Shopping Cart","Košarica naj obstoji"
"Persistence Lifetime (seconds)","Èas obstojnosti (v sekundah)"
"Persistent Shopping Cart","Obstojna košarica"
"Personal Information","Osebni podatki"
"Please log in below:","Prosimo, tukaj se prijavite:"
"Please select region, state or province","Prosimo izberite regijo, državo ali provinco"
"Register","Registrirajte se"
"Register and save time!","Registrirajte se in prihranite èas!"
"Register to Create an Account","Registrirajte se in si kreirajte svoj raèun"
"Register with us for future convenience:","Registriraj se in uživajte naslednje prednosti:"
"Registered Customers","Registrirane stranke"
"Remember Me","Zapomni si me"
"Save in address book","Shrani v imenik"
"Select State/Province...","Izberite državo/provinco..."
"Select a billing address from your address book or enter a new address.","Doloèite naslov za plaèevanje v vašem imeniku ali vpišite nov naslov."
"Ship to different address","Dostava na razliène naslove"
"Ship to this address","Dostava na naslov"
"Sign Up for Newsletter","Prijavite se na e-novice"
"State/Province","Država/Provinca"
"Street Address","Ulica in hišna številka"
"Street Address %s","Ulica %s"
"Submit","Potrdi"
"Telephone","Telefon"
"Welcome, %s!","Pozdravljeni, %s!"
"What\'s this?","Kaj je to?"
"Zip/Postal Code","Poštna številka"
