"A joint field with this alias (%s) is already declared.","Skupno polje s tem vzdevkom (%s) je že določeno."
"Add Option","Dodaj možnost"
"An error occurred while loading a record, aborting. Error: %s","Prišlo je do napake med nalaganjem zapisa, prekinjam. Napaka: %s"
"An error occurred while loading the collection, aborting. Error: %s","Prišlo je do napake med nalaganjem zbirke, prekinjam. Napaka: %s"
"An error occurred while saving a record, aborting. Error: ","Prišlo je do napake med shranjevanjem zapisa, prekinjam. Napaka:"
"Attempt to add an invalid object.","Poskus dodajanja neveljevnega predmeta."
"Attribute '%s' used in configurable products.","Atribut '%s'  uporabljen v nastavljivih izdelkih."
"Attribute Code","Koda atributa"
"Attribute Label","Oznaka atributa"
"Attribute Properties","Lastnosti atributa"
"Attribute set with the ""%s"" name already exists.","Skupina atributa z imenom ""%s"" že obstaja."
"Attribute with the same code","Atribut z enako kodo"
"Catalog Input Type for Store Owner","Tip vnosa kataloga za lastnika trgovine"
"Data integrity: No header row found for attribute.","Celovitost podatkov: Za glavno vrstico ni najden atribut."
"Date","Datum"
"Decimal Number","Decimalno število"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Privzeto ""razvrščanje izdelkov "" po"" ne obstaja za ""izdelke na voljo za razvrščanje po"""
"Default Value","Privzeta vrednost"
"Default option value is not defined.","Možnost privzete vrednosti ni definirana"
"Delete","Odstrani"
"Dropdown","Spustni meni"
"Email","E-pošta"
"Entity collection expected.","Pričakovana je zbirka objekta"
"Entity collections expected.","Pričakovane so zbirke objekta"
"Entity is not initialized.","Objekt ni inicializiran"
"Failed to load node %s from config.","Napaka pri nalaganju vozlišča %s iz konfiguracije"
"For internal use. Must be unique with no spaces","Za interno uporabo. Mora biti edinstven, brez presledkov."
"Form Element with the same attribute","Element obrazca z enakim atributom"
"Form Fieldset with the same code","Skupina obrazca polj z enako kodo."
"Form Type with the same code","Tip obrazca z enako kodo."
"Frontend label is not defined.","Oznaka uporabniške strani ni določena"
"Input Validation for Store Owner","Preverba vnosa za lastnika trgovine"
"Integer Number","Celo število"
"Invalid EAV attribute.","Neveljaven EAV atribut."
"Invalid alias, already exists in joint attributes.","Neveljaven vzdevek , že obstaja v združenih atributih."
"Invalid attribute name: %s.","Neveljavno ime atributa: %s."
"Invalid attribute requested: %s","Zahtevan je neveljaven atribut: %s"
"Invalid attribute type.","Neveljaven tip atributa."
"Invalid character encountered in increment ID: %s","Zaznan je neveljaven znak v ID prirastku: %s"
"Invalid entity specified","Določen je neveljaven objekt"
"Invalid entity supplied.","Pridobjen je neveljaven objekt."
"Invalid entity supplied: %s.","Pridobjen je neveljaven objekt: %s."
"Invalid entity type.","Neveljaven tip objekta."
"Invalid entity_id, skipping the record.","Neveljaven entity_id, zapis nedokončan."
"Invalid entity_type specified: %s","Določen je neveljaven entity_type: %s"
"Invalid foreign key.","Neveljaven tuj ključ."
"Invalid form type.","Neveljaven tip obrazca."
"Invalid joint fields.","Neveljavna združena polja."
"Invalid store specified","Določena je neveljavna trgovina."
"Joined field with this alias is already declared.","Združeno polje s tem vzdevkom je že prijavljeno."
"Joint field or attribute expression with this alias is already declared.","Izraz skupnega polja ali atributa s to okrajšavo je že prijavljen."
"Letters","Črke"
"Letters (a-z, A-Z) or Numbers (0-9)","Črke (a-z, A-Z) ali števila (0-9)"
"Loaded %d records","Naloženo %d zapisov"
"Multiple Select","Večkratna izbira"
"No","Ne"
"No options found in config node %s","V konfiguracijskem vozlišču %s ni bilo najdenih možnosti."
"None","Nobeno"
"Not shared with other products","Ni v skupni rabi z drugimi izdelki"
"Problem loading the collection, aborting. Error: %s","Med nalaganjem zbirke je prišlo do težave, prekinjam. Napaka: %s"
"Problem saving the collection, aborting. Error: %s","Med shranjevanjem zbirke je prišlo do težave, prekinjam. Napaka: %s"
"Required","Zahtevano"
"Saved %d record(s).","Shranjeno %d zapisov."
"Scope must not be changed, because the attribute is used in configurable products.","Področje se ne sme spremeniti, ker je atribut uporabljen v nastavljivih izdelkih"
"System","Sistem"
"Text Area","Področje besedila"
"Text Field","Polje besedila"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","Koda atributa \'%s\' je rezervirana s strani sistema. Prosimo, poskusite drugo kodo atributa."
"The value of attribute ""%s"" must be unique.","Vrednost atrbuta ""%s"" mora biti edinstvena."
"This attribute is used in configurable products."," Atribut je uporabljen v nastavljivih izdelkih"
"URL","URL"
"Unique Value","Edinstvena vrednost"
"Unique Value (not shared with other products)","Edinstvena vrednost (ni v skupni rabi z drugimi izdelki)"
"Unknown parameter.","Neznan parameter"
"Valid store_id is expected.","Pričakovan je veljaven store_id."
"Values Required","Zahtevane so vrednosti"
"Wrong attribute ID.","Napačen ID atributa"
"Wrong attribute group ID.","Napačen ID skupine atributa. "
"Wrong attribute set ID.","Napačen ID skupine atrbuta."
"Wrong entity ID.","Napačen ID objekta."
"Yes","Da"
"Yes/No","Da/Ne"
