"%s - Discounts and Coupons","%s - Popusti in kode za popust"
"%s - Special Discounts","%s - Posebni popusti"
"%s has reached a quantity of %s.","%s je dosegel količino %s."
"%s\'s Wishlist","%s\ lista želja"
"Cannot retrieve the wishlist","Liste želja ni možno obnoviti"
"Catalog","Katalog"
"Comment: %s<br/>","Komentar: %s<br/>"
"Coupons/Discounts","Kuponi/popusti"
"Current Status: %s<br/>","Trenutni status: %s<br/>"
"Customer Name: %s","Ime uporabnika: %s"
"Customer Order Status Notification","Obveščanje uporabnika o statusu naročila"
"Details for %s #%s","Podrobnosti za %s #%s"
"Discount ","Popust "
"Enable RSS","Omogoči RSS"
"Error in processing xml. %s","Napaka pri procesiranju xml. %s"
"From:","Od:"
"Get Feed","Pridobi vir"
"Gift Message","Sporočilo o darilu"
"Grand Total","Za plačilo"
"Low Stock Products","Artikli z nizko zalogo"
"Message:","Sporočilo:"
"New Orders","Nova naročila"
"New Products","Novi artikli"
"New Products from %s","Novi artikli od %s"
"Notified Date: %s<br/>","Obveščen dne: %s<br/>"
"Order # %s Notification(s)","Obvestilo za naročilo # %s"
"Order #%s created at %s","Naročilo #%s ustvarjeno ob %s"
"Pendng product review(s)","Sprejeta ocena artikla"
"Product: ""%s"" review By: %s","Ocena artikla: ""%s"" od: %s"
"Product: <a href=""%s"">%s</a> <br/>","Artikel: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Ključne besede artikla %s"
"Purchased From: %s","Naročeno od: %s"
"RSS Feeds","RSS Feeds"
"Review: %s <br/>","Ocena: %s <br/>"
"Rss Config","Rss možnosti"
"Shipping & Handling","Dostava"
"Special Products","Poseben artikel"
"Special/Discount Products","Artikli s popustom"
"Store: %s <br/>","Trgovina: %s <br/>"
"Subtotal","Znesek skupaj"
"Summary of review: %s <br/>","Skupna ocena: %s <br/>"
"Tags Products","Značke produktov"
"Tax","Davek"
"There are no %s.","Tukaj ni nobenih %s."
"To:","Do:"
"Top Level Category","Glavna raven kategorije"
"Total: %s<br/>","Skupaj: %s<br/>"
"Wishlist","Lista želja"
"click <a href=""%s"">here</a> to view the review","Za pregled ocene klikni <a href=""%s"">tukaj</a>"
