"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Načrtovana opravila) - vsi časi so v minutah"
"Daily","Dnevno"
"Failure History Lifetime","Čas arhiviranja napak "
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Za pravilno ustvarjanje spletnih naslovov, ki nastanejo med Cron rutino, se prepričajte, da je splet > zavarovan in nezavarovan osnovni spletni naslov, izrecno določen."
"Generate Schedules Every","Ustvari urnike vsakih"
"History Cleanup Every","Počisti zgodovino vsakih"
"Invalid callback: %s::%s does not exist","Neveljaven povratni klic:% s:% s ne obstaja"
"Invalid model/method definition, expecting ""model/class::method"".","Neveljaven model / metoda definicije, program pričakuje ""model/class::method""."
"Missed if Not Run Within","Zgrešeno, če se ne zažene do"
"Monthly","Mesečno"
"No callbacks found","Ni najdenih povratnih klicev "
"Schedule Ahead for","Urnik prehitevaš za"
"Success History Lifetime","Čas arhiviranja zaključkov"
"Too late for the schedule.","Prepozno za urnik "
"Unable to save the cron expression.","Ne morem shraniti Cron izraza"
"Unknown error.","Neznana napaka"
"Weekly","Tedensko"
