"API Password","API geslo"
"API Signature","API podpis"
"API User Name","API uporabniško ime"
"Billing Information","Podatki računa"
"Business Account","Poslovni račun"
"Business Name","Poslovno ime"
"Change Payment Method","Spremeni način plačila"
"Change Shipping Address","Spremeni naslov za dostavo"
"Credit Card Types","Vrste kreditnih kartic"
"Debug Flag","Zastavica za odpravljenje programskih napak"
"Edit Shopping Cart","Uredi košarico"
"Email","E-pošta"
"Enabled","Omogočeno"
"Items in Your Shopping Cart","Izdelki v vaši košarici"
"New order status","Status novega naročila"
"PayPal Account","PayPal račun"
"Payment Action","Plačilna dejavnost"
"Payment Method","Način plačila "
"Payment from Specific countries","Plačilo iz določene države"
"Payment from applicable countries","Plačilo iz dovoljene države"
"Paypal Logo Image URL(150x150)","Paypal Logo URL(150x150)"
"Place an Order","Oddajte naročilo"
"Please select a shipping method...","Prosimo, izberite način dostave..."
"Price","Cena"
"Product Name","Naziv produkta"
"Proxy Host","Proxy gostovanje"
"Proxy Port","Proxy vrata"
"Qty","Količina"
"Review Order","Pregled naročila"
"Sandbox Flag","Sandbox zastava"
"Shipping Address","Naslov za dostavo"
"Shipping Information","Podatki o dostavi"
"Shipping Method","Način dostave"
"Sorry, no quotes are available for this order at this time.","Žal trenutno ni na voljo nobenih predračunov za to naročilo."
"Sort order","Vrstni red"
"Submitting order information...","Pošiljanje podatkov o naročilu..."
"Subtotal","Znesek skupaj"
"Title","Naziv"
"Transaction Type","Način plačila"
"Type","Način"
"Update Shipping Method","Posodobi način dostave"
"Use Proxy","Uporabite Proxy"
"Website Payments Pro (Express, Direct)","Spletna pro plačila (Express, Direct)"
"Website Payments Standard","Spletni plačilni standardi"
"You will be redirected to PayPal website when you place an order.","Po oddanem naročilu boste preusmerjeni na PayPal stran."
"You will be redirected to paypal in a few seconds.","V nekaj sekundah boste preusmerjeni na PayPal stran."
"Your billing address will be ignored and you will be redirected to PayPal website","Vaš naslov za plačevanje se ne bo upošteval in preusmerjeni boste na PayPal stran"
