"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure potrditev kartice"
"3D Secure Cardholder Validation","3D Secure potrditev lastnika kartice"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure rezultat potrditve"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Odgovornost izdajatelja kartice"
"Card Verification","Potrjevanje kartice"
"Enrolled","Vpisan"
"Enrolled but Authentication Unavailable","Vpisan, vendar preverjanje pristnosti ni na voljo"
"Failed","Neuspešno"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Odgovornost trgovca"
"Not Enrolled","Ni vpisan"
"Order cannot be placed.","Naročilo ne more biti izvedeno "
"Payment information error. Please start over.","Napaka pri informacijah o plačilu. Prosimo, začnite znova."
"Please continue with placing order.","Prosimo, nadaljujete z oddajo naročila."
"Please verify the card with the issuer bank before placing the order.","Prosimo, pred naročanjem preverite kartico pri banki izdajateljici."
"Please verify the card with the issuer bank:","Prosimo, preverite kartico pri banki izdajateljici:"
"Start/Reset Validation...","Začetek/ Ponastavitev potrditve"
"Successful","Uspešno"
"Successful attempt","Uspešen poskus"
"The card has failed verification with the issuer bank.","Potrditev kartice pri banki izdajateljici ni uspela"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Posredovane so bile napačne informacije o plačilu ali pa je potekel časovni okvir. Prosimo, poskusite znova."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Posredovane so bile napačne informacije o plačilu ali pa je potekel časovni okvir. Prosimo, poskusite znova."
"This card has failed validation and cannot be used.","Potrjevanje kartice ni uspelo, zato jo ni možno uporabiti."
"This card has failed validation, but it is possible to place the order.","Potrjevanje kartice ni uspelo, vendar je z naročanjem mogoče nadaljevati."
"To ensure the security of your transactions","Da bi zagotovili varnost vaših transakcij"
"Unable to complete","Postopka ni mogoče zaključiti"
"Validation failed.","Potrjevanje neuspešno."
"Verification Failed","Potrjevanje neuspešno"
"Verification Successful","Potrjevnaje uspešno"
"Verification cannot be processed","Potrjevanje ni mogoče obdelati"
"Verified by Visa","Potrjeno od Vise"
