" in rows: "," v vrsticah: "
"-- Please Select --","-- Prosimo izberite --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Vmesnik mora biti primer od Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Tip vmesnika mora biti prazen niz"
"Can not determine attribute filter type","Ne morem doloèiti atributa tipa filter"
"Can not find required columns: ","Ne najdem zahtevanih stolpcev: "
"Can not get autoincrement value","Ne dobim samodejnega poveèanja vrednosti"
"Check Data","Preverite podatke"
"Column names has duplicates","Imena stolpcev so podvojeni"
"Column names is empty or is not an array","Stolpcev z imeni je prazen ali pa ni nanizan"
"Column names: ""%s"" are invalid","Imena stolpcev: ""%s"" niso veljvani"
"Continue","Nadaljuj"
"Data is invalid or file is not uploaded","Podatki so neveljavni ali pa datoteka ni naložena"
"Destination directory is not writable","Namembni imenik je zaklenjen za pisanje"
"Destination file is not writable","Namembna datoteka je zaklenjen za pisanje"
"Destination file path must be a string","Namembna pot datoteke mora biti niz"
"Entity Attributes","Atributi subjekta"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Subjektni vmesnik objekta mora biti primer od Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Subjekt ni poznan"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Subjektni tip modela mora biti primer od Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Subjektni tip modela must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Napaka v strukturi podatkov: vedenja so pomešana"
"Error in data structure: entity codes are mixed","Napaka v strukturi podatkov: subjektne kode so pomešane"
"Export","Izvoz"
"Export FAQ","Izvoz Pogostih vprašanj"
"FAQ","Pogosta vprašanja"
"File does not contain data. Please upload another one","Datoteka ne vsebuje podatkov. Prosimo naložite drugo datoteko"
"File format is unknown","Format datoteke je nepoznan"
"File is partially valid, but import is not possible","Datoteka je delno veljavna, vendar uvoz ni mogoè"
"File is totally invalid. Please fix errors and re-upload file","Datoteka je popolnoma neveljavna. Prosimo odpravite napake in ponovno naložite datoteko"
"File is valid! To start import process press ""Import"" button","Datoteka je veljavna! Za pirèetek uvoza kliknite na ""Uvozi"" gumb"
"File is valid, but import is not possible","Datoteka je veljavna, vendar uvoz ni mogoè"
"Header column names already set","Glavna imena stolpcev so že doloèena"
"Import","Uvozi"
"Import / Export FAQ (Frequently Asked Questions)","Uvoz / Izvoz Pogosta vprašanja"
"Import FAQ","Pogosta vprašanja pri uvozu"
"Import successfully done.","Uvoz uspešno zakljuèen."
"Import/Export","Uvoz / Izvoz"
"In/Out","Vhod / izhod"
"Input entity code is not equal to entity adapter code","Vhodna osebna koda ni enaka kodi vmesnika"
"Invalid entity","Neveljaven subjekt"
"Invalid file format","Neveljaven format datoteke"
"Invalid parameters","Neveljavni parametri"
"Invalid seek position","Neveljavni iskalni položaj"
"Invalid value for '%s'","Neveljavna vrednost za '%s'"
"No filter data provided","Ni doloèenih podatkovnih filtrov"
"No source specified","Ni doloèenega vira"
"No valid data sent","Ni poslanih veljavnih podatkov"
"No writer specified","Noben pisec ni doloèen"
"Node does not has model token tag","Vozlišèe nima zaznamkov modela"
"Not implemented yet","Še ni implementirano"
"Please fix errors and re-upload file","Prosim odpravite napake in ponovno naložite datoteko"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Prosim odpravite napake in ponovno naložite datoteko ali preprosto kliknite na ""Uvozi"" gumb, da preskoèite vrstice z napakami"
"Some other FAQ","Ostala Pogosta vprašanja"
"Source file moving failed","Prenos izvorne datoteke ni uspel"
"Source file path must be a string","Pot izvorne datoteke mora biti niz"
"Source is not set","Vir ni doloèen"
"Status","Status"
"System busy","Sistem je zaseden"
"There are no product types available for export","Nobenega tipa produkta ni na voljo za izvoz"
"Total size of uploadable files must not exceed %s","Skupna velikost datoteke, ki jo želite naložiti, ne sme presegati %s"
"Uploaded file has no extension","Naložena datoteka nima razširitev"
"Validation Results","Validacija rezultatov"
