"Action","Aktivnost"
"Add Sitemap","Dodaj zemljevid strani"
"Always","Vedno"
"CMS Pages Options","Možnosti CMS strani"
"Categories Options","Možnosti kategorij"
"Daily","Dnevno"
"Edit Sitemap","Uredi zemljevid strani"
"Enabled","Omogočeno"
"Error Email Recipient","E-pošta prejemnika napake"
"Error Email Sender","E-pošta pošiljatelja napake"
"Error Email Template","Predloga e-pošte napake"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datoteka ""%s"" se ne more shraniti. Prosimo, prepričajte se, da je v imenik ""%s"" možno pisati preko spletnega strežnika."
"Filename","Ime datoteke"
"Frequency","Frekvenca"
"Generate","Generiraj"
"Generation Settings","Nastavitve generiranja"
"Google Sitemap","Google zemljevid strani"
"Hourly","Urno"
"ID","ID"
"Last Time Generated","Zadnjič generirano"
"Link for Google","Povazava za Google"
"Monthly","Mesečno"
"Never","Nikoli"
"New Sitemap","Nov zemljevid strani"
"Path","Pot"
"Please create the specified folder ""%s"" before saving the sitemap.","Prosimo, da ustvarite določeno mapo ""% s "" pred shranjevanjem zemljevida strani ."
"Please define correct path","Prosimo, določite pravilno pot"
"Please make sure that ""%s"" is writable by web-server.","Prosimo, prepričajte se, da je v ""%s"" možno pisati preko spletnega strežnika."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Prosimo, za ime datoteke uporabljajte le črke (a-z in A-Z), številke (0-9) ali podčrtaj (_)."
"Priority","Prednost"
"Products Options","Možnosti izdelka"
"Sitemap","Zemljevid strani"
"Sitemap generate Warnings","Opozorila, ki jih generira zemljevid strani"
"Start Time","Začetni čas"
"Store View","Pogled trgovine"
"The priority must be between 0 and 1.","Prednost mora biti med 0 in 1."
"The sitemap ""%s"" has been generated.","Ustvarjen je bil zemljevid strani ""%s"""
"The sitemap has been deleted.","Zemljevid strani je odstranjen."
"The sitemap has been saved.","Zemljevid strani je shranjen."
"This sitemap no longer exists.","Zemljevid strani ne obstaja več."
"Unable to find a sitemap to delete.","Ne najdem zemljevida strani, da bi ga odstranil."
"Unable to find a sitemap to generate.","Ne najdem zemljevida strani, da bi ga generiral."
"Unable to generate the sitemap.","Ne morem generirati zemljevida strani."
"Valid values range: from 0.0 to 1.0.","Razpon veljavnih vrednosti: od 0.0 do 1.0."
"Weekly","Tedensko"
"Yearly","Letno"
