"Alert Email Sender","Pošiljanje opozoril preko e-pošte"
"Alert subscription has been saved.","Prijava na opozorila je bila shranjena"
"Allow Alert When Product Comes Back in Stock","Dovoli opozorilo, ko je izdelek ponovno na zalogi"
"Allow Alert When Product Price Changes","Dovoli opozorilo, ko se spremeni cena izdelka"
"Click here not to receive alerts for this product","Klikni tu, če ne želite prejemati opozoril za ta izdelek"
"Error Email Recipient","Napačna E-pošta prejemnika"
"Error Email Sender","Napačna E-pošta pošiljatelja"
"Error Email Template","Napačna predloga E-pošte"
"Frequency","Frekvenca"
"Not enough parameters.","Ni dovolj parametrov"
"Price Alert Email Template","E-poštna predloga  za opozorilo o ceni"
"Price:","Cena:"
"Product Alerts","Opozorila izdelka"
"Product Alerts Run Settings","Nastavitve zagona za opozorila izdelka"
"Product alerts Cron error","Cron napaka za opozorila izdelka"
"Product price alert","Opozorilo o ceni izdelka"
"Product stock alert","Opozorilo o zalogi izdelka"
"Regular Price:","Redna cena:"
"Sign up for price alert","Prijavi se na opozorila o ceni"
"Sign up to get notified when this product is back in stock","Prijavi se na obvestilo o ponovni zalogi produkta"
"Special price:","Spletna cena:"
"Start Time","Začetni čas"
"Stock Alert Email Template","E-poštna predloga za opozorilo o zalogi"
"The alert subscription has been deleted.","Prijava na opozorila je bila odstranjena."
"The alert subscription has been saved.","Prijava na opozorila je bila shranjena."
"The product is not found.","Izdelka ni mogoče najti"
"The product was not found.","Izdelek ni bil najden."
"Unable to update the alert subscription.","Prijave na opozorila ne morem posodobiti."
"Unsubscribe from all price alerts","Odjava od prejemanja vseh opozoril o cenah."
"Unsubscribe from all stock alerts","Odjava od prejemanja vseh opozoril o zalogi."
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","To obvestilo ste prejeli, ker ste prijavljeni na prejemanje obvestil, ko je izdelek ponovno na zalogi:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","To obvestilo ste prejeli, ker ste prijavljeni na prejemanje obvestil, ko se spremeni cena naslednjih izdelkov:"
"You will no longer receive price alerts for this product.","Ne boste več prejemali obvestil o ceni za ta izdelek."
"You will no longer receive stock alerts for this product.","Ne boste več prejemali obvestil o zalogi za ta izdelek."
"You will no longer receive stock alerts.","Ne boste več prejemali obvestil o zalogi."
