"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s je bil dodan vašemu seznamu želja. Kliknite <a href=""%2$s"">tukaj</a> za nadaljevanja nakupa"
"%d product(s) have been added to shopping cart: %s.","%d izdelkov je bilo dodanih v nakupovalno košarico: %s."
"%s's Wishlist","Seznam želja osebe %s"
"* Required Fields","* Obvezna polja"
"Add All to Cart","Dodaj vse v košarico"
"Add to Cart","Dodaj v košarico"
"Add to Wishlist","Dodaj na seznam želja"
"Added On","Dodano dne"
"An error occurred while adding item to wishlist.","Prišlo je do napake pri dodajanju izdelkov v seznam želja. "
"An error occurred while adding item to wishlist: %s","Prišlo je do napake pri dodajanju izdelkov v seznam želja: %s"
"An error occurred while deleting the item from wishlist.","Prišlo je do napake pri odstranjevanju iz seznama želja. "
"An error occurred while deleting the item from wishlist: %s","Prišlo je do napake pri odstranjevanju iz seznama želja: %s"
"Are you sure you want to remove this product from your wishlist?","Ali ste prepričani, da želite odstraniti ta izdelek iz vašega seznama želja? "
"Are you sure you would like to remove this item from the wishlist?","Ali ste prepričani, da želite odstraniti ta izdelek iz vašega seznama želja? "
"Back","Nazaj"
"Can\'t save description %s","Ne morem shraniti opisa %s"
"Can\'t update wishlist","Ne morem posodobiti seznama želja"
"Cannot add item to shopping cart","Izdelkov ne morem dodati na seznam želja."
"Cannot add the item to shopping cart.","Izdelkov ne morem dodati na seznam želja."
"Cannot create wishlist.","Seznama želja ne morem ustvariti."
"Cannot specify product.","Izdelka ne morem določiti."
"Cannot specify wishlist.","Seznama želja ne morem določiti."
"Cannot update wishlist","Seznama želja ne morem posodobiti."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Označite to polje, če želite dodati povezavo RSS vira k svojemu seznamu želja. "
"Comment","Komentar"
"Comment:","Komentar:"
"Customer My Account My Wishlist","Stranka Moj račun Moj seznam želja"
"Customer My Account Wishlist Sharing Form","Stranka Moj račun Obrazec za seznam želja v skupni rabi"
"Customer Shared Wishlist View","Strankin pogled na seznam želja v skupni rabi"
"Email Sender","Pošiljatelj E-pošte"
"Email Template","Predloga E-pošte"
"Email address can\'t be empty.","E-poštni naslov ne more biti prazen"
"Email addresses, separated by commas","E-poštni naslovi, ločeni z vejicami"
"Enabled","Omogočeno"
"General Options","Splošne možnosti"
"Go to Wishlist","Pojdite na seznam želja"
"Last Added Items","Zadnji dodani izdelki"
"Message","Sporočilo"
"My Wishlist","Moj seznam želja"
"My Wishlist (%d item)","Moj seznam želja (%d izdelek)"
"My Wishlist (%d items)","Moj seznam želja (izdelkov: %d)"
"My Wishlist <small>(%d)</small>","Moj seznam želja<small>(%d)</small>"
"Out of stock","Ni na zalogi"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com","Prosimo, vnesite veljavne E-poštne naslove, ločene z vejicami. Na primer janeznovak@domena.com, janezkovač@domena.com"
"Please input a valid email address.","Prosimo, vnesite veljaven e-poštni naslov"
"Please, enter your comments...","Prosimo, vnesite vaše sporočilo …"
"Product","Izdelek"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Izdelki %s so združeni. Vsakega izmed njih se lahko doda košarici le ločeno."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Izdelki %s imajo zahtevane možnosti. Vsakega izmed njih se lahko doda košarici le ločeno."
"RSS Feed","RSS vir"
"RSS link to %s's wishlist","RSS povezava na %s's seznam želja"
"Remove Item","Odstrani izdelek"
"Remove This Item","Odstrani ta izdelek"
"Remove item","Odstrani izdelek"
"Share Options","Možnosti skupne rabe"
"Share Wishlist","Deli seznam želja"
"Share Your Wishlist","Vaš seznam želja dajte v skupno rabo"
"Sharing Information","Skupna raba informacij"
"This product(s) is currently out of stock","Tega izdelka trenutno ni na zalogi."
"Unable to add the following product(s) to shopping cart: %s.","Naslednjih izdelkov ni bilo mogoče dodati v nakupovalno košašrico: %s."
"Update Wishlist","Posodobi seznam želja"
"View Product","Prikaži izdelek"
"Wishlist","Seznam želja"
"Wishlist Section","Oddelek seznama želja"
"Wishlist Sharing","Deljenje seznama želja "
"Wishlist is empty now.","Seznam želja je sedaj prazen."
"You have no items in your wishlist.","V svojem seznamu želja nimate nobenega izdelka."
"Your Wishlist has been shared.","Vaš seznam želja je v skupni rabi."
