"A block identifier with the same properties already exists in the selected store.","Identifikator bloka z enakimi lastnostmi že obstaja v izbranih trgovinah. "
"A directory with the same name already exists. Please try another folder name.","Imenik z enakim imenom že obstaja. Prosimo, poskusite z drugim imenom mape."
"A page URL key for specified store already exists.","Ključ URL strani za izbrano trgovino že obstaja. "
"Action","Aktivnost"
"Add New Block","Dodaj nov blok"
"Add New Page","Dodaj novo stran"
"All Countries","Vse države"
"An error occurred while saving the page.","Prišlo je do napake med shranjevanjem te strani."
"Anchor Custom Text","Zasidraj blok po meri"
"Anchor Custom Title","Zasidraj naslov po meri"
"Are you sure you want to delete current folder?","Ali ste prepričani, da želite odstraniti trenutno mapo ?"
"Are you sure you want to delete the selected file?","Ali ste prepričani, da želite odstraniti izbrano datoteko ?"
"Block","Blok"
"Block Information","Informacije bloka"
"Block Title","Naslov bloka"
"CMS","CMS"
"CMS Content Wrapper","CMS obdajanje vsebine"
"CMS Home Page","CMS domača stran"
"CMS No Cookies Page","CMS stran brez piškotkov"
"CMS No Route Page","CMS stran brez poti"
"CMS No-Route Page","CMS stran brez poti"
"CMS Page","CMS stran"
"CMS Page Link","CMS povezava na stran"
"CMS Page Link Block Template","CMS predloga povezav strani v blokih"
"CMS Page Link Inline Template","CMS predloga povezav strani v vrsticah"
"CMS Pages (All)","CMS strani (vse)"
"CMS Static Block","CMS statični blok"
"CMS Static Block Default Template","CMS prednastavljena predloga statičnega bloka"
"Cannot create new directory.","Ne morem ustvariti novega imenika."
"Cannot delete directory %s.","Ne morem odstraniti %s imenika."
"Cannot delete root directory %s.","Ne morem odstraniti korenskega imenika %s."
"Cannot upload file.","Ne morem naložiti datotek."
"Collapse All","Skrči vse"
"Content","Vsebina"
"Content Heading","Glava vsebine"
"Content Management","Upravljanje vsebine"
"Contents of a Static Block","Vsebine statičnih blokov"
"Create Folder...","Ustvari mapo ...."
"Custom Design","Oblikovanje po meri"
"Custom Design From","Obrazec oblikovanja po meri"
"Custom Design To","Oblikovanje po meri za"
"Custom Layout","Postavitev po meri"
"Custom Layout Update XML","XML posodobitev postaviteve po meri"
"Custom Theme","Tema po meri"
"Customer Tax Class Information","Podatki o stankinem davčnem razredu"
"Date Created","Datum nastanka"
"Delete Block","Odstrani blok"
"Delete File","Odstrani datoteko"
"Delete Folder","Odstrani mapo"
"Delete Page","Odstrani stran"
"Description","Opis"
"Design","Oblikovanje"
"Disabled","Onemogočeno"
"Disabled Completely","Popolnoma onemogočeno"
"Disabled by Default","Privzeto onemogočeno"
"Edit Block","Uredi blok"
"Edit Block '%s'","Uredi blok '%s'"
"Edit Page","Uredi stran"
"Edit Page '%s'","Uredi stran'%s'"
"Enable WYSIWYG Editor","Omogoči WYSIWYG urejevalnik"
"Enabled","Omogočeno"
"Enabled by Default","Omogočeno v prednastavitvi"
"Expand All","Razširi vse"
"General Information","Splošni podatki"
"Go to Home Page","Pojdi na domačo stran"
"Home","Domov"
"ID","ID"
"Identifier","Identifikacijska številka"
"If empty, the Page Title will be used","Če je prazno, se uporabi naslov strani"
"Images (%s)","Slike (%s)"
"Insert File","Vstavi datoteko"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Neveljavno ime mape. Prosimo, uporabite alfanumerične znake, podčrtaje in pomišljaje."
"Keywords","Ključne besede"
"Last Modified","Zadnja sprememba"
"Layout","Postavitev"
"Layout Update XML","Posodobljena XML postavitev"
"Link to a CMS Page","Povazava na CMS stran"
"Manage Pages","Uredi strani"
"Media Storage","Medijska shramba"
"Meta Data","Meta podatki"
"Meta Description","Meta opis"
"Meta Keywords","Meta ključne besede"
"New Block","Nov blok"
"New Folder Name:","Ime nove mape:"
"New Page","Nova stran"
"No files found","Nisem našel datotek"
"Page Information","Podatki o strani"
"Page Layout","Postavitev strani"
"Page Status","Stanje strani"
"Page Title","Naslov strani"
"Pages","Strani"
"Product Tax Class Information","Podatki o davčnem razredu izdelka"
"Redirect to CMS-page if Cookies are Disabled","Preusmeri na CMS-stran, če so piškotki onemogočeni"
"Relative to Website Base URL","Sorazmerno z osnovnim URLjem spletne strani"
"Save Block","Shrani blok"
"Save Page","Shrani stran"
"Save Process","Shrani postopek"
"Select Block...","Izberi blok ..."
"Select Page...","Izberi stran ..."
"Show Breadcrumbs for CMS Pages","Prikaži trenutno pot za CMS strani"
"Show Notice if JavaScript is Disabled","Prikaži obvestilo če je JavaScript onemogočen"
"Static Blocks","Statični bloki"
"Status","Stanje"
"Storage Root","Korenska mapa shrambe"
"Store View","Pogled na trgovino"
"Template","Predloga"
"The block has been deleted.","Blok je odstranjen."
"The block has been saved.","Blok je shranjen."
"The directory %s is not writable by server.","V imenik %s ni mogoče pisati preko strežnika."
"The page URL key cannot consist only of numbers.","URL strani ne more vsebovati samo števila."
"The page URL key contains capital letters or disallowed symbols.","URL naslov strani vsebuje velike črke ali nedovoljene simbole."
"The page has been deleted.","Stran je odstranjena."
"The page has been saved.","Stran je shranjena."
"This block no longer exists.","Ta blok ne obstaja več"
"This page no longer exists.","Ta stran ne obstaja več"
"Title","Naslov"
"URL Key","URL ključ"
"Unable to find a block to delete.","Blok, ki ste ga želeli odstaniti, ne morem najti."
"Unable to find a page to delete.","Stran, ki ste jo želeli odstaniti, ne morem najti."
"WYSIWYG Options","Možnosti WYSIWYG"
"px.","px."
