"Actions","Aktivnosti"
"Add Answer","Dodaj odgovor"
"Add New Answer","Dodaj nov odgovor"
"Add New Poll","Dodaj novo anketo"
"Answer Title","Naslov odgovora"
"Answer Title:","Naslov odgovora:"
"Answer with the same title in this poll","Odgovori z istim naslovom v tej anketi"
"Are you sure you want to delete it?","Ali ste prepričani, da želite izbrisati?"
"Assigned Answers","Dodeljeni odgovori"
"Closed","Zaprto"
"Community Poll","Skupinska anketa"
"Date Closed","Datum zaključka"
"Date Posted","Datum objave"
"Delete","Odstrani"
"Delete Answer","Odstrani odgovor"
"Delete Poll","Odstrani anketo"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Ne dovoli večkratnega glasovanja v anketi iz istega IP-naslov"
"Edit Answer '%s'","Uredi odgovor '%s'"
"Edit Poll '%s'","Uredi anketo '%s'"
"Edit Poll Answer","Uredi odgovor v anketi"
"ID","ID"
"Invalid Answer.","Neveljaven odgovor"
"New Poll","Nova anketa"
"Number of Responses","Število odgovorov"
"Open","Odpri"
"Poll Answers","Odgovori ankete"
"Poll Information","Anketne informacije"
"Poll Manager","Urejevalnik ankete"
"Poll Question","Anketna vprašanja"
"Poll information","Anketne informacije"
"Poll with the same question","Anketa z enakim vprašanjem"
"Polls","Ankete"
"Save Answer","Enak odgovor"
"Save Poll","Shrani anketo"
"Status","Stanje"
"The answer has been saved.","Odgovor je shranjen"
"The poll does not exist.","Anketa ne obstaja"
"Unable to find an answer to delete.","Ne najdem odgovora, ki ga želite odstraniti"
"Visible In","Vidno v"
"Vote","Glasuj"
"Votes Count","Število glasov"
"Votes Count:","Število glasov:"
