"%s codes deleted","%s zbrisane kode"
"%s codes imported","%s uvožene kode"
"%s codes not imported","%s neuvožene kode"
"%s product in feed.","%s izdelek v bazi"
"%s product not in feed.","%s izdelka ni v bazi"
"Add new","Dodaj novo"
"Attrib. Set Name","Ime skupine atributov"
"Attributes map","Mapa atributov"
"Cron Frequency","Frekvenca Cron-a"
"Cron Hour","Čas Cron-a"
"Delete","Odstrani"
"Eav code","Eav koda"
"FTP Password","FTP Geslo"
"FTP Path","FTP Pot"
"FTP Server","FTP Server"
"FTP Settings","FTP Nastavitve"
"FTP User","FTP Uporabnik"
"FTP: Can't delete files","FTP: Ne morem zbrisati datotek"
"Feed","Vir"
"Feed code","Koda vira"
"ID","ID"
"Import","Uvoz"
"Import attribute map","Uvozi mapo atributov"
"Import code","Uvozi kodo"
"In feed","Vnešeno"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Za dostop do vašega FTP računa, se morate najprej registrirati in preveriti vašo trgovino v TheFind Merchant Center. Kliknite <a href=""https://merchant.thefind.com/mc/claim.fhtml"">tukaj</a> za začetek."
"Is imported","Uvoženo"
"Item params","Parametri postavke"
"Manage attributes","Uredi atribute"
"Manage items","Uredi postavke"
"Not import","Ne uvozi"
"Not publish","Ne objavi"
"Price","Cena"
"Product Name","Naziv izdelka"
"Product import","Uvoz izdelka"
"Publish","Objavi"
"SKU","Šifra izdelka"
"Settings","Nastavitve"
"The Find","The Find"
"TheFind Feed Filename","TheFind datoteka vira"
"TheFind feed","TheFind vir"
"Type","Tip"
"Unable to process an import. ","Uvoza ni mogoče obdelati"
"Update TheFind Item when Product is Updated","Posodobi TheFind postavko ko je izdelek posodobljen "
