"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" ni na voljo v zahtevani količini. %s izdelkov bo dostavljenih naknadno."
"%s is available for purchase in increments of %s only.","%s je na voljo za nakup le v sledečih enotah %s."
"%s is not a correct comparsion method.","%s ni pravilen način primerjave."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Opomba</strong>, da te nastavitve veljajo le za izdelke v košarici in ne za celo košarico."
"Add Minimum Qty","Dodaj najmanjšo količino"
"Allow Qty Below 0","Dovoli količino pod 0"
"Allow Qty Below 0 and Notify Customer","Dovoli količino pod 0 in obvesti stranko"
"Automatically Return Credit Memo Item to Stock","Avtomatsko dodaj izdelkom v dobropisu zalogo"
"Backorders","Naknadna dostava"
"By Fixed value","Po osnovni vrednosti"
"By Percentage","Po odstotkih"
"Cannot specify product identifier for the order item.","Ne morem določiti identifikatorja za naročen izdelek."
"Catalog Inventory","Zaloga kataloga"
"Decrease Stock When Order is Placed","Zmanjšaj zalogo, ko je oddano naročilo."
"Enable Qty Increments","Omogoči prirastek količine."
"In Stock","Na zalogi"
"Index Product Stock Status","Stanje indeksa izdelkov na zalogi"
"Inventory","Zaloga"
"Inventory API","API popisa"
"Inventory Section","Oddelek s popisom"
"Manage Stock","Urejaj zalogo"
"Maximum Qty Allowed in Shopping Cart","Največja količina dovoljena v nakupovalni košarici"
"Minimum Qty","Najmanjša količina"
"Minimum Qty Allowed in Shopping Cart","Najmanjša količina dovoljena v nakupovalni košarici"
"No Backorders","Ni naknadne dostave"
"Not all products are available in the requested quantity","Vsi izdelki niso na voljo v zahtevanhi količinah"
"Notify for Quantity Below","Obvesti za količino pod"
"Only X left Threshold","Meja za izpis: ostane samo še X izdelkov"
"Out of Stock","Ni na zalogi"
"Product Stock Options","Možnosti zaloge izdelkov"
"Qty Increments","Prirastek količine"
"Qty for Items' Status to Become Out of Stock","Količina izdelkov za stanje ni več na zalogi"
"Retrieve stock data","Prikaži podatke o zalogi"
"Retrieve stock data by product ids","Prikaži podatke o zalogi po ID izdelka"
"Rule price","Pravila cen"
"Set Items' Status to be In Stock When Order is Cancelled","Nastavi stanje izdelkov, da je spet na zalogi, če je naročilo preklicano"
"Some of the products are currently out of stock","Nekaterih izdelkov trenutno ni na zalogi"
"Some of the products cannot be ordered in requested quantity.","Nekaterih izdelkov se ne more naročiti v zahtevani količini"
"Some of the products cannot be ordered in the requested quantity.","Nekaterih izdelkov se ne more naročiti v zahtevani količini"
"Stock Options","Možnosti zaloge"
"Stock Status","Stanje zaloge"
"The maximum quantity allowed for purchase is %s.","Največja dovoljena količina za nakup je %s."
"The minimum quantity allowed for purchase is %s.","Najmanjša dovoljena količina za nakup je %s."
"The requested quantity for ""%s"" is not available.","Zahtevana količina za ""%s"" ni na voljo."
"The requested quantity is not available.","Zahtevana količina ni na voljo."
"The stock item for Product in option is not valid.","Postavka zaloge za izdelek ni veljavna"
"The stock item for Product is not valid.","Postavka zaloge za izdelek ni veljavna."
"This product is available for purchase in increments of %s only.","Ta izdelek je na voljo za nakup le po korakih %s."
"This product is currently out of stock.","Ta izdelek trenutno ni na zalogi."
"This product is not available in the requested quantity. %s of the items will be backordered.","Ta izdelek ni na voljo v zahtevani količini. %s izdelkov bo dostavljenih naknadno."
"To Fixed Value","Do fiksne vrednosti"
"To Percentage","Do odstotka"
"Undefined product type.","Nedoločen tip izdelka"
"Update","Posodobi"
"Update product stock data","Posodobi podatke o zalogi izdelka"
"Update the Product","Posodobi izdelek"
