" was not delivered nor scanned","ni bilo ne dostavljeno ne skenirano"
"1 Day Freight","1 dan s tovornim prometom"
"2 Day Freight","2 dni s tovornim prometom"
"2Day","2 dni"
"2nd Day Air","drugi dan z zračnim prometom"
"2nd Day Air AM","drugi dan z zračnim AM prometom"
"2nd Day Air AM Letter","drugi dan z zračnim AM pisemskim prometom"
"2nd Day Air Letter","drug dan z zračnim pisemskim prometom"
"3 Day Freight","3 dni s tovornim prometom"
"3 Day Select","Izberi 3 dni "
"Access ID","ID dostopa"
"Access License Number","Številka licence za dostop"
"Account ID","ID računa"
"Account Number","Številka računa"
"Additional Protection Configuration Value","Konfiguracijska vrednost dodatne zaščite"
"Additional Protection Enabled","Dodatna zaščita omogočena"
"Additional Protection Min Subtotal","Najmanjši vmesni seštevek dodatne zaščite"
"Additional Protection Value","Vrednost dodatne zaščite"
"Additional Protection Value Rounding Method","Način zaokroževanja vrednosti dodatne zaščite"
"All Services","Vse storitve"
"Allowed Methods","Dovoljeni načini"
"Bound Printed Matter","Vezane tiskovine"
"Business Service Center","Center za poslovne storitve"
"Calculate Handling Fee","Izračunaj strošek obdelave"
"Canada Standard","Standard za Kanado"
"Cannot retrieve shipping rates","Ne morem pridobiti stopenj stroškov dostave"
"Commercial","Poslovno"
"Configuration","Konfiguracija"
"Container","Zabojnik"
"Customer Packaging","Strankino pakiranje"
"DHL","DHL"
"Debug","Odstranjevanje programskih napak"
"Default Package Height","Privzeta višina paketa"
"Default Package Length","Privzeta dolžina paketa"
"Default Package Width","Privzeta širina paketa"
"Delivered","Dostavljeno"
"Destination Type","Tip destinacije"
"Development","Razvoj"
"Displayed Error Message","Prikazano sporočilo o napaki"
"Domestic Shipment Days","Dnevi dostave v domačem prometu "
"Drop Box","Nabiralnik"
"Dropoff","Mesto oddaje"
"Empty response","Prazen odgovor"
"Enable Negotiated Rates","Omogoči stopnje za pogajanje"
"Enabled","Omogočeno"
"Enables/Disables SSL verification of Magento server by UPS.","Omogoči/onemogoči SSL preverjanje Magento strežnika z UPS."
"Error #%s : %s (%s)","Napaka #%s : %s (%s)"
"Error #%s: %s","Napaka #%s: %s"
"Europe First Priority","Prednostna pošta v Evropo"
"Express","Ekspress"
"Express 10:30 AM","Exspress do 10:30"
"Express Mail","Hitra pošta"
"Express Saturday","Exspress na soboto"
"Express Saver","Express Saver"
"Failed to parse xml document: %s"," xml  %s dokumenta ni uspelo razčleniti"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First čez noč"
"First-Class","Prvi razred "
"Flat","Pavšal"
"Flat-Rate Box","Škatla s pavšalno poštnino"
"Flat-Rate Envelope","Ovojnica s pavšalno poštnino"
"Free Method","Brezplačni način"
"Free Shipping with Minimum Order Amount","Brezplačna dostava z najmanjšim zneskom naročila"
"Gateway URL","URL usmerjevalnik"
"Gateway XML URL","XML URL usmerjevalnik"
"Ground","Po kopnem"
"Ground Commercial","Po kopnem poslovno"
"Ground Residential","Po kopnem bivalno"
"Handling Applied","Obdelava vključena"
"Handling Fee","Provizija za obdelavo"
"Home Delivery","Dostava na dom"
"International Economy","Mednarodna ekonomija"
"International Express","Mednarodna dostava Express"
"International First","Mednarodna dostava First"
"International Priority","Mednarodna prioriteta"
"International Shipment Days","Mednarodni dnevi dostave"
"Intl Economy Freight","Mednarodni ekonomski tovorni"
"Intl Priority Freight","Mednarodni prednostni tovorni"
"Invalid DHL XML code for type %s: %s.","Neveljavna DHL XML koda za tip %s: %s."
"Invalid DHL XML code type: %s.","Neveljavna DHL XML tip kode: %s."
"Invalid FedEx XML code for type %s: %s","Neveljavna FedEx XML koda za tip %s: %s"
"Invalid FedEx XML code type: %s","Neveljavna FedEx XML tip kode: %s"
"Invalid UPS CGI code for type %s: %s","Neveljavna UPS CGI koda za tip %s: %s"
"Invalid UPS CGI code type: %s","Neveljavna UPS CGI tip kode: %s"
"Invalid USPS XML code for type %s: %s","Neveljavna USPS XML koda za tip %s: %s"
"Invalid USPS XML code type: %s","Neveljaven USPS XML tip kode: %s"
"Kilograms","Kilogramov"
"Large","Velik"
"Letter","Pismo"
"Library","Knjižnjica"
"Live","V živo"
"Machinable","Strojno"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Največja teža paketa (Prosimo, preverite pri vašem prevozniku za največjo težo pošiljke)."
"Media Mail","Media Mail"
"Minimum Order Amount for Free Shipping","Najmanjše naročilo za brezplačno dostavo"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Najmanjša teža paketa (Prosimo, preverite pri vašem prevozniku glede najmanjše možne teže pošiljke)."
"Mode","Način"
"Next Afternoon","Naslednjo popoldne"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Ne"
"Non-rectangular","Ni pravokotno"
"Order","Naročilo"
"Origin of the Shipment","Izvor pošiljke"
"Oversize","Prevelik "
"Package","Paket"
"Package Description","Opis paketa"
"Packaging","Pakiranje"
"Parcel","Paket"
"Parcel Post","Paketna pošta"
"Password","Geslo"
"Pickup Method","Način dviga"
"Please enter the package weight","Prosimo, vnesite težo paketa"
"Please make sure to use only digits here. No dashes are allowed.","Prosimo, prepričajte se, da tukaj uporabljate samo števila. Pomišljaji niso dovoljeni."
"Pounds","Funtov"
"Priority Mail","Prednostna pošta"
"Priority Overnight","Prednostna preko noči"
"Receiver","Prejemnik"
"Rectangular","Pravokotno"
"Regular","Navadno"
"Regular Pickup","Navadni dvig"
"Request Courier","Zahtevaj kurirja"
"Residential","Bivalno"
"Residential Delivery","Dostava v bivalno"
"Response is in the wrong format","Odgovor je v napačnem formatu"
"Round","Krožno"
"Second Day Service","storitev drugega dne"
"Sender","Pošiljatelj"
"Ship to Applicable Countries","Dostava v dovoljene države"
"Ship to Specific Countries","Dostava v določene države"
"Shipment Contains Hazardous Materials","Pošiljka vsebuje nevarne snovi"
"Shipment Dutiable","Obdavčljiva pošiljka"
"Shipment Duty Payment Type","Tip plačila dajatve za pošiljko"
"Shipment Type","Tip dostave"
"Shipment is not available.","Pošiljka ni na voljo"
"Shipment picked up","Pošiljka prevzeta"
"Shipper Number","Številka dostavne službe"
"Shipping Key","Ključ dostave"
"Shipping Key (International)","Ključ dostave (mednarodno)"
"Show Method if Not Applicable","Pokaži način, če ni na voljo"
"Size","Velikost"
"Sort Order","Vrstni red"
"Standard Overnight","Standardno čez noč"
"Station","Postaja"
"Subtotal","Vmesni seštevek"
"Subtotal With Discount","Vmesni seštevek s popustom"
"The response is in wrong format.","Odgovor je v napačnem formatu."
"There is no available method for selected shipping address.","Za izbrani naslov dostave ni na voljo nobene metode."
"Third Party","Tretja oseba"
"Title","Naslov"
"To Lower","Za nižje"
"To Upper","Za gornje"
"Tracking XML URL","Sledenje XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","tip UPS"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"USPS","USPS"
"Unable to retrieve tracking","sledenja ne morem pridobiti"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Neznana napaka"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Uporabljeno samo ko je""Vrednost dodatne zaščite"" nastavljena na ""Konfiguracija"". Vsebuje lahko samo številčni znesek."
"User ID","Uporabnikov ID"
"UserId","Uporabnikov ID"
"Variable","Spremenljivka"
"Weight Unit","Enota teže"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Yes","Da"
"Your Packaging","Vaše pakiranje"
